x1,condition,binchoice,bincorrect,binrt,x2,xavg,estim,estrt,trial,block,session,subj
-10,1,-1,1,1.16,0,-5,-19.20605,1.617,29,3,3,1
20,-1,1,1,1.042,NaN,NaN,NaN,NaN,30,3,3,1
-20,-1,-1,1,0.806,NaN,NaN,NaN,NaN,32,3,3,1
20,1,1,1,0.831,10,15,13.30638,0.901,33,3,3,1
10,0,0,NaN,1.265,10,10,-7.65195,1.101,34,3,3,1
10,-1,-1,0,1.05,NaN,NaN,NaN,NaN,35,3,3,1
10,-1,1,1,1.271,NaN,NaN,NaN,NaN,36,3,3,1
10,0,0,NaN,1.541,10,10,-19.0233,0.967,38,3,3,1
10,1,1,1,1.111,-20,-5,-7.92464,1.034,39,3,3,1
20,1,1,1,0.888,20,20,-8.3112,0.967,40,3,3,1
20,-1,-1,0,1.038,NaN,NaN,NaN,NaN,41,3,3,1
-10,-1,-1,1,1.559,NaN,NaN,NaN,NaN,42,3,3,1
-20,-1,-1,1,0.981,NaN,NaN,NaN,NaN,43,3,3,1
-10,-1,-1,1,0.892,NaN,NaN,NaN,NaN,44,3,3,1
10,-1,1,1,0.975,NaN,NaN,NaN,NaN,45,3,3,1
10,0,0,NaN,1.397,10,10,-18.2048,1.051,46,3,3,1
0,1,1,0,0.738,-10,-5,-15.2073,1.117,47,3,3,1
-10,-1,-1,1,1.007,NaN,NaN,NaN,NaN,48,3,3,1
10,-1,1,1,1.2,NaN,NaN,NaN,NaN,49,3,3,1
0,1,1,0,1.032,20,10,-19.3899,1.051,50,3,3,1
-20,0,0,NaN,1.14,10,-5,23.25809,0.984,51,3,3,1
20,0,0,NaN,1.64,-10,5,-15.57293,0.801,52,3,3,1
10,0,0,NaN,0.96,0,5,-12.73169,1.317,53,3,3,1
-10,-1,-1,1,1.103,NaN,NaN,NaN,NaN,54,3,3,1
10,-1,-1,0,0.764,NaN,NaN,NaN,NaN,55,3,3,1
10,0,0,NaN,1.222,20,15,-11.7651,0.884,56,3,3,1
-10,1,-1,1,0.686,0,-5,23.28693,0.767,57,3,3,1
-10,0,0,NaN,1.066,10,0,10.128,0.851,58,3,3,1
-10,1,1,0,1.199,20,5,-12.103,1.101,59,3,3,1
10,-1,1,1,1.154,NaN,NaN,NaN,NaN,61,3,3,1
-10,-1,-1,1,0.756,NaN,NaN,NaN,NaN,62,3,3,1
-20,1,-1,1,0.825,-10,-15,-11.40771,0.934,63,3,3,1
10,1,1,1,1.113,20,15,-11.9149,0.817,64,3,3,1
0,1,-1,0,0.775,0,0,11.83526,1.184,65,3,3,1
20,1,1,1,0.832,-10,5,-11.80969,0.767,66,3,3,1
-20,-1,-1,1,1.015,NaN,NaN,NaN,NaN,67,3,3,1
0,-1,-1,0,1.296,NaN,NaN,NaN,NaN,68,3,3,1
-20,-1,-1,1,0.988,NaN,NaN,NaN,NaN,1,4,3,1
-20,0,0,NaN,1.005,-20,-20,-9.4077,1.767,2,4,3,1
-20,1,-1,1,1.547,-20,-20,-8.2794,1.001,3,4,3,1
10,1,1,1,0.934,0,5,-5.36821,1.201,4,4,3,1
-10,1,-1,1,0.699,20,5,15.5953,0.851,5,4,3,1
10,0,0,NaN,0.973,20,15,-12.7537,1.584,6,4,3,1
-20,-1,-1,1,0.932,NaN,NaN,NaN,NaN,7,4,3,1
20,1,1,1,0.666,20,20,13.9549,1.334,8,4,3,1
10,1,1,1,1.177,20,15,13.0445,0.984,9,4,3,1
10,0,0,NaN,0.858,20,15,15.4215,1.434,10,4,3,1
-20,0,0,NaN,1.152,0,-10,4.59377,0.884,13,4,3,1
-20,1,-1,1,0.823,10,-5,-15.3345,0.767,14,4,3,1
10,1,-1,0,0.737,10,10,-7.30076,1.567,16,4,3,1
-10,1,-1,1,0.585,0,-5,6.69817,0.934,17,4,3,1
20,0,0,NaN,1.188,0,10,-9.57441,0.817,18,4,3,1
10,1,-1,0,0.824,0,5,-6.31973,0.851,19,4,3,1
10,1,1,1,1.062,-20,-5,11.19035,0.717,20,4,3,1
0,-1,-1,0,1.299,NaN,NaN,NaN,NaN,21,4,3,1
0,0,0,NaN,1.087,-10,-5,-0.000500000000002387,0.634,22,4,3,1
20,0,0,NaN,1.269,10,15,13.89102,1.167,23,4,3,1
-10,0,0,NaN,1.093,-20,-15,-10.4917,1.034,24,4,3,1
