x1,condition,binchoice,bincorrect,x2,xavg,estim,subj,x1_relative,x2_relative
53.875,1,-1,0,59.625,56.75,54,2,3.875,9.625
51.75,1,1,1,48.25,50,57,2,1.75,-1.75
48.25,1,1,0,60.5,54.375,65,2,-1.75,10.5
50.375,1,1,1,48,49.1875,52,2,0.375,-2
44.875,1,1,0,54,49.4375,61,2,-5.125,4
52.125,1,1,1,54,53.0625,47,2,2.125,4
54.375,1,1,1,52,53.1875,56,2,4.375,2
48.125,1,1,0,57.25,52.6875,62,2,-1.875,7.25
55,1,-1,0,61.125,58.0625,67,2,5,11.125
47.375,1,1,0,61.875,54.625,56,2,-2.625,11.875
46.625,1,-1,1,61.625,54.125,52,2,-3.375,11.625
46.125,1,1,0,46.25,46.1875,38,2,-3.875,-3.75
45.875,1,-1,1,46,45.9375,46,2,-4.125,-4
44.875,1,-1,1,60.875,52.875,56,2,-5.125,10.875
54.375,1,1,1,52.5,53.4375,57,2,4.375,2.5
46.125,1,1,0,58.625,52.375,54,2,-3.875,8.625
51.125,1,1,1,45.625,48.375,44,2,1.125,-4.375
44.25,1,-1,1,45.875,45.0625,38,2,-5.75,-4.125
50.5,1,-1,0,62.25,56.375,59,2,0.5,12.25
51.75,1,-1,0,60.5,56.125,66,2,1.75,10.5
55.25,1,1,1,55.375,55.3125,52,2,5.25,5.375
53.125,-1,-1,0,40.625,46.875,NaN,3,3.125,-9.375
55.25,-1,1,1,42.25,48.75,NaN,3,5.25,-7.75
50.75,-1,1,1,46.625,48.6875,NaN,3,0.75,-3.375
45.875,-1,-1,1,45.75,45.8125,NaN,3,-4.125,-4.25
