x1,condition,binchoice,bincorrect,x2,xavg,estim,subj
51.875,0,NaN,0,57.125,54.5,54,1
47.375,1,1,0,61.875,54.625,56,1
46.625,1,-1,1,61.625,54.125,60,1
53,-1,1,1,52.75,52.875,NaN,1
46.125,1,-1,1,46.25,46.1875,57,1
52,0,NaN,0,46.5,49.25,58,1
45.875,1,1,0,46,45.9375,59,1
44.875,-1,1,0,57.125,51,NaN,1
54.375,0,NaN,0,47.875,51.125,57,1
45.875,0,NaN,0,61.125,53.5,54,1
45.125,-1,-1,1,59.875,52.5,NaN,1
47.125,-1,-1,1,59.25,53.1875,NaN,1
44.875,1,-1,1,60.875,52.875,68,1
47.75,0,NaN,0,59.625,53.6875,54,1
50.5,0,NaN,0,57.25,53.875,48,1
51,-1,-1,0,54.625,52.8125,NaN,1
54.375,1,1,1,52.5,53.4375,60,1
46.125,1,1,0,58.625,52.375,63,1
46.875,-1,1,0,54.5,50.6875,NaN,1
47.5,0,NaN,0,39.5,43.5,55,1
51.125,1,1,1,45.625,48.375,57,1
44.25,1,1,0,45.875,45.0625,49,1
50.5,1,1,1,62.25,56.375,57,1
51.75,1,1,1,60.5,56.125,54,1
53.125,-1,1,1,58.5,55.8125,NaN,1
45.5,0,NaN,0,42.375,43.9375,51,1
50.5,-1,1,1,46.125,48.3125,NaN,1
53.25,-1,1,1,44.375,48.8125,NaN,1
55.25,1,1,1,55.375,55.3125,53,1
55.625,-1,1,1,57.25,56.4375,NaN,1
51.5,0,NaN,0,47.75,49.625,52,1
53.125,-1,1,1,40.625,46.875,NaN,2
48.75,1,-1,1,44.375,46.5625,44,2
55.25,-1,1,1,42.25,48.75,NaN,2
50.75,-1,1,1,46.625,48.6875,NaN,2
48.375,1,-1,1,47.875,48.125,57,2
54.5,0,NaN,0,41.125,47.8125,59,2
45.375,1,-1,1,41.625,43.5,38,2
47.5,1,-1,1,38.625,43.0625,33,2
47.75,1,1,0,57.5,52.625,66,2
52,0,NaN,0,39.5,45.75,43,2
45.875,-1,-1,1,45.75,45.8125,NaN,2
46.625,1,1,0,38.375,42.5,40,2
47.5,0,NaN,0,47.875,47.6875,35,2
47.75,-1,1,0,52.125,49.9375,NaN,2
47.25,1,-1,1,41.375,44.3125,36,2
52.625,-1,1,1,58.375,55.5,NaN,2
50.625,-1,1,1,50.5,50.5625,NaN,2
48.625,0,NaN,0,42.375,45.5,44,2
53.625,-1,-1,0,46.5,50.0625,NaN,2
52.25,1,1,1,39.25,45.75,55,2
51.625,0,NaN,0,48.375,50,50,2
54.75,1,1,1,47.25,51,55,2
47.375,-1,-1,1,58.25,52.8125,NaN,2
46.75,0,NaN,0,47.75,47.25,38,2
53.25,1,-1,0,58.75,56,47,2
52.125,-1,1,1,48.75,50.4375,NaN,2
44.25,1,1,0,48.25,46.25,54,2
54.125,-1,-1,0,44.5,49.3125,NaN,2
47.5,-1,1,0,41.5,44.5,NaN,2
46.875,0,NaN,0,39.875,43.375,43,2
53.375,1,1,1,42,47.6875,62,2
51.25,-1,1,1,45.75,48.5,NaN,2
55.375,0,NaN,0,37.625,46.5,47,2
47,0,NaN,0,46.5,46.75,56,2
54.875,-1,1,1,58.125,56.5,NaN,2
50.25,-1,1,1,58,54.125,NaN,2
50.875,-1,1,1,42.375,46.625,NaN,2
52.375,0,NaN,0,54.5,53.4375,61,2
53.375,0,NaN,0,38,45.6875,35,2
54.625,1,1,1,58,56.3125,68,2
46.25,-1,-1,1,46.625,46.4375,NaN,2
44.625,0,NaN,0,47.375,46,32,2
54.875,0,NaN,0,58.375,56.625,58,2
46.5,-1,1,0,47.5,47,NaN,2
51.125,1,-1,0,54.625,52.875,46,2
55.875,0,NaN,0,58.5,57.1875,60,2
47.25,1,-1,1,54,50.625,50,2
47.125,-1,1,0,60.875,54,NaN,2
54,-1,1,1,62.375,58.1875,NaN,2
46.875,-1,-1,1,60,53.4375,NaN,2
51.25,1,1,1,58.875,55.0625,64,2
48.5,-1,-1,1,59.375,53.9375,NaN,2
45.5,1,-1,1,59.25,52.375,54,2
48.625,-1,-1,1,48.5,48.5625,NaN,2
48.75,0,NaN,0,54,51.375,52,2
45.125,0,NaN,0,48.75,46.9375,44,2
51.75,1,1,1,45.5,48.625,47,2
53.75,1,1,1,53.125,53.4375,51,2
46.375,1,1,0,46.875,46.625,54,2
55.25,1,1,1,55.625,55.4375,59,2
52.875,-1,1,1,62.875,57.875,NaN,2
47.5,1,1,0,51.375,49.4375,48,2
48.5,0,NaN,0,42.125,45.3125,39,2
44.75,0,NaN,0,40.375,42.5625,39,2
50.75,-1,1,1,51.75,51.25,NaN,2
51.125,1,-1,0,57.625,54.375,53,2
53.625,1,1,1,46.625,50.125,48,2
48,0,NaN,0,46.375,47.1875,34,2
53.25,0,NaN,0,53.5,53.375,54,2
48.625,-1,-1,1,62.375,55.5,NaN,2
47,-1,-1,1,39.875,43.4375,NaN,2
54.625,0,NaN,0,58.75,56.6875,66,2
52.5,-1,1,1,58.25,55.375,NaN,2
54.625,-1,-1,0,57.75,56.1875,NaN,2
53.75,-1,1,1,59.875,56.8125,NaN,2
55.375,1,1,1,47.125,51.25,55,2
47.25,1,1,0,44.75,46,46,2
50.75,-1,1,1,58,54.375,NaN,2
51.5,0,NaN,0,42.25,46.875,40,2
45.25,-1,1,0,46.125,45.6875,NaN,2
52.25,-1,-1,0,44.875,48.5625,NaN,2
52.875,1,1,1,62.5,57.6875,73,2
47.5,-1,-1,1,42.125,44.8125,NaN,2
54.625,0,NaN,0,37.25,45.9375,40,2
45.5,1,1,0,40.5,43,42,2
44.375,1,1,0,37.625,41,57,2
44.5,0,NaN,0,40.625,42.5625,37,2
51.875,-1,-1,0,44.625,48.25,NaN,2
48.25,-1,1,0,57.5,52.875,NaN,2
54.125,1,1,1,53.5,53.8125,54,2
46.875,1,-1,1,61.5,54.1875,55,2
45.875,-1,1,0,58.625,52.25,NaN,2
48.625,1,-1,1,38.125,43.375,43,2
54.125,0,NaN,0,55.75,54.9375,57,2
48,1,1,0,52.25,50.125,52,2
54.375,1,1,1,54.375,54.375,58,2
51.625,-1,1,1,52.25,51.9375,NaN,2
51,0,NaN,0,47.75,49.375,44,2
51.25,-1,-1,0,61.25,56.25,NaN,2
52.125,-1,1,1,39.625,45.875,NaN,2
55,-1,-1,0,46.5,50.75,NaN,2
53.375,-1,1,1,40.625,47,NaN,2
47,-1,1,0,55.125,51.0625,NaN,2
55.25,0,NaN,0,51,53.125,56,2
47.625,1,1,0,59.375,53.5,56,2
47.875,-1,-1,1,57.625,52.75,NaN,2
47.75,0,NaN,0,46.625,47.1875,58,2
51.75,1,1,1,55,53.375,57,2
54.5,-1,1,1,41.375,47.9375,NaN,2
52,0,NaN,0,58.875,55.4375,66,2
47.125,0,NaN,0,42.5,44.8125,47,2
